"Model","EOSL Date (D.M.YY)"
"ProLiant DL380 G1","31.12.2006"
"ProLiant 1850R","31.12.2007"
"ProLiant 3000","31.12.2007"
"ProLiant 5500 Server","31.12.2007"
"ProLiant 6400R","31.12.2007"
"ProLiant 6500R","31.12.2007"
"ProLiant 7000R","31.12.2007"
"ProLiant 850R","31.12.2007"
"ProLiant BL20p G1 Blade","31.12.2007"
"ProLiant DL360 G1","31.12.2007"
"ProLiant DL380 G2","16.10.2008"
"ProLiant DL360 G2","4.11.2008"
"ProLiant DL360 G3","31.1.2010"
"ProLiant DL380 G3","31.1.2010"
"ProLiant DL140 G2","31.12.2010"
"ProLiant DL140 G3","31.12.2010"
"ProLiant DL145 G1","31.12.2010"
"ProLiant DL145 G2","31.12.2010"
"ProLiant DL145 G3","31.12.2010"
"ProLiant DL160 G5","31.12.2010"
"ProLiant DL160 G6","31.12.2010"
"ProLiant 1600","31.1.2011"
"ProLiant DL360 G4","31.3.2011"
"ProLiant DL365 G5","14.6.2011"
"ProLiant ML330 G2","31.12.2011"
"ProLiant ML330 G3","31.12.2011"
"ProLiant ML350 G2","31.12.2011"
"ProLiant ML350 G3","31.12.2011"
"ProLiant DL380 G4","28.2.2012"
"ProLiant DL385 G1","28.2.2012"
"ProLiant BL25p G1 Blade","31.3.2012"
"ProLiant DL320 G1","1.6.2012"
"ProLiant DL320 G2","1.6.2012"
"ProLiant DL320 G3","1.6.2012"
"ProLiant DL320 G4","1.6.2012"
"ProLiant DL320 G5","1.6.2012"
"ProLiant DL320 G6","1.6.2012"
"ProLiant DL560 G1","1.6.2012"
"ProLiant DL580 G1","1.6.2012"
"ProLiant DL580 G2","1.6.2012"
"ProLiant DL580 G3","1.6.2012"
"ProLiant DL580 G4","1.6.2012"
"ProLiant DL580 G5","1.6.2012"
"ProLiant DL585 G1","1.6.2012"
"ProLiant DL585 G2","1.6.2012"
"ProLiant DL585 G5","1.6.2012"
"ProLiant DL585 G6","1.6.2012"
"ProLiant DL585 G7","1.6.2012"
"ProLiant DL740 G1","1.6.2012"
"ProLiant DL760 G1","1.6.2012"
"ProLiant DL760 G2","1.6.2012"
"ProLiant DL785 G5","1.6.2012"
"ProLiant ML110 G1","1.6.2012"
"ProLiant ML110 G2","1.6.2012"
"ProLiant ML110 G3","1.6.2012"
"ProLiant ML110 G4","1.6.2012"
"ProLiant BL460c G1 Blade","19.9.2012"
"ProLiant BL20p G2 Blade","31.12.2012"
"ProLiant BL20p G3 Blade","31.12.2012"
"Proliant BL20p G4 Blade","31.12.2012"
"ProLiant BL25p G2 Blade","31.12.2012"
"ProLiant BL280c G6 Blade","31.12.2012"
"ProLiant BL2x220c G5 Blade","31.12.2012"
"ProLiant BL45p G1 Blade","31.12.2012"
"ProLiant BL45p G2 Blade","31.12.2012"
"ProLiant DL100 G2 Storage Server","1.2.2013"
"ProLiant DL120 G6","1.2.2013"
"ProLiant DL120 G7","1.2.2013"
"ProLiant DL140 G1","1.2.2013"
"ProLiant DL385 G2","30.9.2013"
"ProLiant BL465c G1 Blade","31.10.2013"
"ProLiant DL385 G5","30.6.2014"
"ProLiant ML150 G5","30.8.2014"
"ProLiant ML150 G6","30.8.2014"
"ProLiant ML310 G1","30.8.2014"
"ProLiant ML310 G2","30.8.2014"
"ProLiant ML310 G3","30.8.2014"
"ProLiant ML310 G4","30.8.2014"
"ProLiant BL460c G5 Blade","31.10.2014"
"ProLiant DL360 G5","30.11.2014"
"ProLiant DL380 G5","30.11.2014"
"ProLiant ML350 G4","30.11.2014"
"ProLiant ML350 G4p","30.11.2014"
"ProLiant ML350 G5","30.11.2014"
"ProLiant ML370 G1","30.11.2014"
"ProLiant ML370 G2","30.11.2014"
"ProLiant ML370 G3","30.11.2014"
"ProLiant ML370 G4","30.11.2014"
"ProLiant ML370 G5","30.11.2014"
"ProLiant ML530 G1","30.11.2014"
"ProLiant ML530 G2","30.11.2014"
"ProLiant ML570 G1","30.11.2014"
"ProLiant ML570 G2","30.11.2014"
"ProLiant ML570 G3","30.11.2014"
"ProLiant ML570 G4","30.11.2014"
"Proliant SE326M1","30.11.2014"
"ProLiant DL560 G1","1.1.2015"
"ProLiant DL160 G8","3.1.2015"
"Proliant DL165 G5","1.3.2015"
"ProLiant DL165 G6","1.3.2015"
"Proliant DL165 G7","1.3.2015"
"ProLiant DL180 G5","1.3.2015"
"ProLiant DL180 G6","1.3.2015"
"ProLiant DL185 G5","1.3.2015"
"ProLiant ML110 G5","30.5.2015"
"ProLiant ML110 G6","30.5.2015"
"ProLiant ML110 G7","30.5.2015"
"ProLiant ML115 G1","30.5.2015"
"ProLiant ML115 G5","30.5.2015"
"ProLiant ML150 G2","30.5.2015"
"ProLiant ML150 G3","30.5.2015"
"ProLiant DL365 G1","1.6.2015"
"ProLiant BL465c G5 Blade","31.12.2015"
"ProLiant BL465c G6 Blade","31.12.2015"
"ProLiant DL385 G6","31.12.2015"
"ProLiant Blade Centre c-Class c3000 Chassis","12.2.2016"
"ProLiant BL480c G1 Blade","31.3.2016"
"ProLiant BL490c G6 Blade","31.3.2016"
"ProLiant BL495c G5 Blade","31.3.2016"
"ProLiant BL620c G7 Blade","31.3.2016"
"ProLiant BL680c G5 Blade","31.3.2016"
"ProLiant BL680c G7 Blade","31.3.2016"
"Proliant BL685c G1 Blade","31.3.2016"
"Proliant BL685c G5 Blade","31.3.2016"
"Proliant BL685c G6 Blade","31.3.2016"
"ProLiant DL360 G6","30.4.2016"
"ProLiant DL380 G6","30.4.2016"
"ProLiant BL460c G6 Blade","30.6.2016"
"ProLiant BL465c G7 Blade","31.12.2017"
"ProLiant BL490c G7 Blade","31.12.2017"
"ProLiant BL460c G7 Blade","28.2.2018"
"ProLiant DL360 G7","30.4.2018"
"ProLiant DL380 G7","30.4.2018"
"ProLiant DL385 G7","30.4.2018"
"ProLiant ML350 G6","31.7.2018"
"ProLiant DL360p G8","13.6.2021"
"ProLiant DL380p G8","30.6.2021"
"ProLiant BL460c G8","2.8.2021"
"ProLiant DL360e G8","16.8.2021"
"ProLiant DL380e G8","16.8.2021"
"ProLiant DL580 G7","16.8.2021"
"ProLiant DL320e G8 V1","16.8.2021"
"ProLiant ML350e G8 V2","16.8.2021"
"ProLiant ML350p G8","16.8.2021"
"ProLiant DL580 G8","30.9.2021"
"ProLiant BL685c G7","1.10.2021"
"ProLiant DL320e G8 V2","1.10.2021"
"ProLiant BL420c G8","30.11.2021"
"ProLiant BL465 G8","30.11.2021"
"ProLiant XL270d Gen 10","31.1.2023"
"ProLiant DL360 Gen 10 32TB Performance Server for Cohesity DataPlatform","31.1.2028"
"ProLiant DL360 Gen 10 77TB Performance Server for Cohesity DataPlatform","31.1.2028"
"ProLiant DL380 Gen 10 48TB Performance Server for Cohesity DataPlatform","30.3.2028"
"ProLiant DL380 Gen 10 96TB Performance Server for Cohesity DataPlatform","30.3.2028"
